2.343719	-2.006403	1.528714	-0.284936	1.401417	4.402998	5.013289	-1.194837	-1.970468	1.015923	4.439218	5.661187	-3.265285	-3.572246	0.757254	4.150255	8.897791	3.281205	2.864452	7.056306	
1.634875	-2.019490	1.795987	0.067335	1.558181	4.676588	4.757313	-1.732448	-1.578121	0.923206	4.701380	5.193525	-4.035938	-2.834192	0.300829	4.402816	9.163665	3.073334	2.836700	6.995947	
0.966403	-1.930403	2.002144	0.437414	1.736968	4.937133	4.408378	-2.193308	-1.157439	0.869167	4.922528	4.638008	-4.622766	-2.041865	-0.042554	4.521632	9.454152	2.811851	2.795118	6.906604	
0.357506	-1.759044	2.152809	0.817020	1.939528	5.176746	3.969399	-2.563997	-0.730383	0.874201	5.111963	4.012260	-5.023605	-1.249125	-0.223448	4.560647	9.740930	2.517851	2.744765	6.796753	
-0.179462	-1.523810	2.260508	1.199086	2.167660	5.385690	3.447288	-2.835764	-0.322186	0.950469	5.277794	3.332360	-5.251619	-0.513537	-0.225599	4.576021	9.997405	2.202583	2.693387	6.674262	
-0.638370	-1.241009	2.341391	1.578685	2.422638	5.552326	2.853071	-3.004537	0.042314	1.100461	5.423952	2.611624	-5.329056	0.114242	-0.061397	4.615796	10.202006	1.867844	2.650284	6.546168	
-1.018682	-0.924826	2.412489	1.953379	2.704036	5.663114	2.201699	-3.070141	0.342556	1.317147	5.549015	1.861144	-5.280177	0.598094	0.237360	4.715044	10.337573	1.508300	2.625547	6.418675	
-1.324295	-0.587645	2.489780	2.322972	3.008784	5.702954	1.512058	-3.035320	0.565785	1.585750	5.646849	1.091672	-5.125796	0.919707	0.629310	4.895686	10.388883	1.114882	2.629389	6.297269	
-1.562666	-0.239999	2.587053	2.688995	3.330338	5.655913	0.806959	-2.905375	0.709210	1.887005	5.708438	0.315645	-4.880408	1.078605	1.071181	5.168309	10.339873	0.678729	2.671473	6.186916	
-1.743851	0.109184	2.715357	3.054187	3.657932	5.506659	0.112762	-2.688457	0.780723	2.200716	5.724438	-0.451282	-4.552161	1.090471	1.522811	5.533712	10.172003	0.194499	2.759655	6.092422	
-1.879583	0.452701	2.883208	3.421704	3.976150	5.242774	-0.541652	-2.396785	0.797591	2.509679	5.687155	-1.190099	-4.144884	0.984541	1.950550	5.983776	9.864126	-0.336490	2.897539	6.018917	
-1.982033	0.785047	3.096825	3.794393	4.264608	4.857413	-1.126815	-2.047898	0.783482	2.802338	5.591628	-1.879763	-3.661517	0.800424	2.329777	6.501376	9.394140	-0.904444	3.081677	5.972310	
-2.062360	1.102274	3.360683	4.173825	4.498065	4.352399	-1.615345	-1.664812	0.764075	3.073717	5.435808	-2.499521	-3.108079	0.583674	2.646852	7.060823	8.742390	-1.490279	3.298603	5.959007	
-2.128968	1.401727	3.678025	4.559003	4.647193	3.740883	-1.985260	-1.274595	0.762163	3.324660	5.220065	-3.031857	-2.496704	0.380463	2.900298	7.629493	7.895989	-2.066604	3.522821	5.984914	
-2.185900	1.681565	4.050977	4.944842	4.680144	3.049048	-2.223081	-0.904381	0.793788	3.559317	4.946251	-3.464914	-1.846934	0.231813	3.100375	8.171196	6.853065	-2.600056	3.717343	6.053500	
-2.230841	1.940174	4.480314	5.320455	4.565515	2.316375	-2.326220	-0.576337	0.866304	3.782619	4.617298	-3.793761	-1.185013	0.168803	3.266794	8.649973	5.625479	-3.054197	3.837998	6.163521	
-2.254014	2.175814	4.964548	5.667293	4.276787	1.593421	-2.304273	-0.302938	0.979091	3.998292	4.236766	-4.020433	-0.540963	0.209985	3.424653	9.032936	4.240031	-3.391715	3.841364	6.307154	
-2.238224	2.386188	5.498430	5.957840	3.798149	0.937440	-2.178753	-0.085079	1.126281	4.207683	3.808970	-4.152647	0.055031	0.361091	3.599635	9.291122	2.737916	-3.575347	3.695920	6.470241	
