-0.859349		 1.148518		 5.227610		 3.042511		-4.263912		-0.980318		-0.085234		 4.439056		 4.050670		-3.535872		-1.969100		-0.590608		 7.178549		 8.780705		 1.890839		 2.006520		 5.555532		 4.777684		-2.207668		 1.093059
-0.519925		 1.253552		 5.401756		 2.443985		-4.365815		-0.453988		-0.035511		 4.523166		 3.751110		-3.836432		-1.297301		-0.809348		 7.015815		 9.137052		 0.920345		 2.044502		 5.775518		 4.253144		-2.434826		 1.567075
-0.135948		 1.393948		 5.550095		 1.815490		-4.356707		-0.014796		 0.117412		 4.616107		 3.411683		-4.029783		-0.632818		-0.845590		 6.831893		 9.334639		-0.003091		 2.158296		 6.016733		 3.679105		-2.575738		 1.996553
 0.290165		 1.567348		 5.666147		 1.170393		-4.248471		 0.321871		 0.352389		 4.720859		 3.031785		-4.125686		-0.010637		-0.707480		 6.675944		 9.365742		-0.842766		 2.340695		 6.280689		 3.052372		-2.640077		 2.361454
 0.752210		 1.771151		 5.740890		 0.522503		-4.051801		 0.551907		 0.643776		 4.834699		 2.612108		-4.136644		 0.538382		-0.416059		 6.584576		 9.230347		-1.579039		 2.571115		 6.565795		 2.370427		-2.635238		 2.648135
 1.241027		 2.002735		 5.763352		-0.113763		-3.775710		 0.682250		 0.965573		 4.951601		 2.155399		-4.075731		 0.991045		 0.000180		 6.578673		 8.930223		-2.209166		 2.820358		 6.865567		 1.634540		-2.564314		 2.849574
 1.745345		 2.259315		 5.721432		-0.723386		-3.428320		 0.729422		 1.294879		 5.064228		 1.666877		-3.954762		 1.333578		 0.509702		 6.663561		 8.464793		-2.742950		 3.055420		 7.168494		 0.852999		-2.425144		 2.965988
 2.252747		 2.537300		 5.602940		-1.291083		-3.018537		 0.717123		 1.614415		 5.165183		 1.154240		-3.783001		 1.561890		 1.080820		 6.830909		 7.829806		-3.196144		 3.242861		 7.459835		 0.043917		-2.210965		 3.005973
 2.750943		 2.831150		 5.396874		-1.801978		-2.558011		 0.673154		 1.913866		 5.247533		 0.627303		-3.566580		 1.680915		 1.683350		 7.060959		 7.018847		-3.583268		 3.350408		 7.724724		-0.763072		-1.913007		 2.987833
 3.229378		 3.131849		 5.094966		-2.242503		-2.062614		 0.625919		 2.189916		 5.304828		 0.097383		-3.308664		 1.703483		 2.289668		 7.324534		 6.027277		-3.911016		 3.347572		 7.951427		-1.526926		-1.524882		 2.940145
 3.680813		 3.425315		 4.693463		-2.601292		-1.552811		 0.600946		 2.445044		 5.330870		-0.423440		-3.010308		 1.648967		 2.875762		 7.585011		 4.858042		-4.173068		 3.206791		 8.133592		-2.197575		-1.047936		 2.900219
 4.102166		 3.691265		 4.195036		-2.869890		-1.052505		 0.617925		 2.685444		 5.319477		-0.923065		-2.671858		 1.541739		 3.422566		 7.800887		 3.528404		-4.347205		 2.906813		 8.270723		-2.720619		-0.495935		 2.909352
 4.493831		 3.903161		 3.610588		-3.043220		-0.586434		 0.688763		 2.918653		 5.264383		-1.390042		-2.294637		 1.409333		 3.917437		 7.929450		 2.075885		-4.395979		 2.439654		 8.366811		-3.044025		 0.102974		 3.004978
 4.857297		 4.029777		 2.960591		-3.119975		-0.176581		 0.816996		 3.151493		 5.159340		-1.814161		-1.882580		 1.280270		 4.355240		 7.931512		 0.560991		-4.272511		 1.820772		 8.427928		-3.126147		 0.708750		 3.211565
 5.191752		 4.038699		 2.275493		-3.103205		 0.161520		 0.998628		 3.388694		 4.998452		-2.186989		-1.443441		 1.181652		 4.738346		 7.776375		-0.935937		-3.932596		 1.099215		 8.460263		-2.944158		 1.276689		 3.533556
 5.491026		 3.901663		 1.594632		-3.001127		 0.421573		 1.224193		 3.632271		 4.776684		-2.502297		-0.989256		 1.136795		 5.075019		 7.445675		-2.325164		-3.352184		 0.361281		 8.469763		-2.501392		 1.767504		 3.953588
 5.742080		 3.600980		 0.963129		-2.827785		 0.607450		 1.481540		 3.881440		 4.490429		-2.756315		-0.535904		 1.163244		 5.376271		 6.934864		-3.523828		-2.545336		-0.279208		 8.463055		-1.831239		 2.156516		 4.437269
 5.925635		 3.135561		 0.426647		-2.602607		 0.731771		 1.758660		 4.132787		 4.138029		-2.947690		-0.101815		 1.271417		 5.651860		 6.251976		-4.473008		-1.573972		-0.705723		 8.447724		-0.995153		 2.438078		 4.942673
 6.018843		 2.524558		 0.024698		-2.348022		 0.812453		 2.045829		 4.380521		 3.720145		-3.077043		 0.293921		 1.463966		 5.906536		 5.414400		-5.148630		-0.541762		-0.831183		 8.430683		-0.074090		 2.623561		 5.430487
 5.999495		 1.806923		-0.216054		-2.085096		 0.868452		 2.336641		 4.616740		 3.239985		-3.146175		 0.633698		 1.735793		 6.137552		 4.445185		-5.561201		 0.427925		-0.623334		 8.416116		 0.844610		 2.734664		 5.870969
 5.850788		 1.036301		-0.286699		-1.828544		 0.916227		 2.627921		 4.831779		 2.703418		-3.157083		 0.903446		 2.074663		 6.334071		 3.370440		-5.744744		 1.220871		-0.112231		 8.405958		 1.681219		 2.795733		 6.246261
 5.565389		 0.272330		-0.197821		-1.583362		 0.967970		 2.918896		 5.014644		 2.119060		-3.111064		 1.094374		 2.462432		 6.478551		 2.218754		-5.740445		 1.755686		 0.621284		 8.403539		 2.375052		 2.827988		 6.549025
 5.147596		-0.429257		 0.022533		-1.344792		 1.031586		 3.210090		 5.153528		 1.498348		-3.008218		 1.204271		 2.876982		 6.549788		 1.022471		-5.582250		 1.995731		 1.468538		 8.417515		 2.890968		 2.846407		 6.779355
